Deal_title,Success_probability
Title2RBG8,62.6
TitleZPMLT,61.3
TitleNCT73,69.4
TitleRH0CG,69.8
TitleM81TL,63.1
Title59KR5,71.3
TitleX5F33,58.1
Title177J6,64.6
Title48NBL,68.2
TitleAB617,54.6
Title2ASW6,66.2
TitleRY53W,69.0
TitleDO4IN,61.0
Title1IFKE,66.1
TitleK6SAM,59.7
TitleHHZ3W,66.6
TitleZSO2H,62.1
TitleK5HUB,64.3
TitleQ2CQP,67.9
TitleP1P2T,64.6
TitleVAP78,66.7
Title1ZFZP,70.7
TitleLKNOQ,72.2
TitleF5M2L,66.0
TitleA3JWQ,60.6
TitleKLE8B,68.6
Title24VWF,67.8
TitleY8ZBM,57.9
Title9PULP,56.1
Title3NPEW,66.7
Title91S6N,56.7
TitleLG9SG,59.5
TitleXFDU5,57.8
TitleAZCMZ,60.0
TitleFNCL9,68.8
TitleZ71MW,70.7
TitleYPV5U,62.0
Title0PFVJ,73.3
Title2J7WR,58.0
TitleF9TI2,59.7
TitleAB70M,59.1
TitleDCD90,60.0
Title4N8HW,57.3
TitleF5ZFB,63.2
TitleJ2AV8,58.6
TitleF5C7V,64.8
Title9HEI4,64.6
TitleV64ZC,68.1
Title5QX7S,59.5
Title7D6RK,69.0
TitleA6QC4,60.5
Title1JMO7,58.1
TitleFJD5Y,65.2
Title4J8LW,71.4
Title5YI5T,60.8
TitleVNV55,58.6
TitleCSCQX,70.0
TitleAZKWI,57.5
Title1AJ2I,65.7
Title322DK,56.0
Title9HAQC,63.7
TitleRHZ7L,64.3
Title0CZQQ,66.2
TitleLVY1J,65.5
TitleACDIX,65.6
TitleHQM9M,62.6
TitleX0MK0,66.4
TitleV8X3S,69.8
Title2EZYK,64.0
TitleHHNNF,67.8
TitleYOYAO,70.4
TitleIQ98O,68.3
TitleIHZ2E,73.2
TitleZ5J52,57.4
TitleRGHOI,59.9
TitleIAGU0,56.9
Title023FO,66.3
TitleVXYK8,52.1
TitleOMDNT,66.3
TitleCZN3X,59.0
TitleOY6SX,70.1
TitleR4ON4,66.5
TitleWUK8H,64.6
Title9CMQT,58.5
TitleW3LFX,64.5
Title2GITH,65.8
Title19E6A,68.4
TitleYOECY,58.4
TitleAZSA4,59.1
TitlePN4UR,69.9
TitleY4YQV,51.7
TitleORBJ6,63.9
TitleYD7LT,70.8
Title8SL16,69.1
TitleXI1UQ,60.2
TitleL581I,63.6
TitleH91AX,60.8
TitleLKVIM,63.7
TitleWAUBR,64.5
TitleUHMTR,67.9
TitleZUF5M,67.1
TitleJ9J8L,68.3
TitleDYYCE,58.5
Title8N7XI,64.2
TitleAWLB2,62.1
TitleXXJ1K,60.9
TitleZF0SP,65.6
TitleWZ08A,59.0
TitleRHL71,58.8
TitleTYKX4,65.6
TitleD3RDH,69.2
TitleDXUPU,69.9
Title5L2C4,59.3
TitleSBS1A,59.9
TitleQO1HA,65.0
TitleF1GCQ,58.1
TitleN9TKA,70.9
TitleO08LI,60.6
TitleKDNOY,59.3
TitleAIU0F,58.9
TitleIFVXB,61.9
TitleT5EG9,67.6
TitleYOP1K,61.5
Title2QY9H,66.8
TitleAEVPT,60.0
TitleAAW85,70.5
Title6NA9A,67.7
TitleY8YY5,61.0
Title0UG9L,65.0
Title1ID54,60.7
TitleSMXVA,68.7
TitleIZDBA,61.3
Title975KB,64.5
TitleECHPD,59.9
TitleOBCLV,61.5
Title68J6T,66.9
Title4S2QY,66.0
Title5JGSD,68.6
TitleALTXY,61.5
TitleCWGFU,67.7
TitlePHHD0,70.1
TitleKWFTK,66.2
Title475DZ,65.3
TitleMTJM7,69.9
TitlePF61Z,70.5
TitleBJ2ER,67.3
Title50LYV,67.2
TitleH3HUJ,62.4
Title7IMHP,64.3
TitleCMKW1,58.2
Title933SF,70.4
Title7YS1E,64.5
Title7EGA7,67.5
TitleLA7DV,65.7
TitleDL0DO,71.3
Title3NZJ5,62.3
TitleZGOLB,60.7
TitleLMEVA,67.3
TitleFP0TV,52.4
TitleFMIE8,69.6
TitleJJHXW,71.1
TitleTVRI1,58.6
Title3XYTX,65.9
TitleRE4WS,69.5
Title3QVNA,67.9
TitleCUD6G,59.9
Title1Z5EF,64.8
TitleEMZJH,56.9
TitleMIMHZ,60.1
TitleE3N7P,60.1
Title9CD16,62.2
TitleDOTV0,69.5
TitleS7YMO,58.4
TitleH9SN9,59.1
TitleYPB2B,64.5
Title0XTGZ,59.6
TitleHR7DD,63.4
TitleCQ4UW,68.1
TitleZFYTR,59.8
TitlePW097,59.2
Title6U3HV,60.6
TitleB1B6J,64.5
Title3UAB7,60.4
TitleY3U4X,62.5
TitleEXMHJ,60.0
TitleZSF9E,67.1
Title6Y3XE,72.6
Title7QMJP,61.8
TitleU9T6A,67.6
Title9WJB9,65.0
TitleF0ADH,66.0
TitleL28X4,54.0
Title09SLQ,57.9
TitleGLYDJ,66.0
TitleQIR2V,64.6
TitleD0VTL,61.1
TitleT7QID,63.3
TitleNGUQY,64.1
TitleG86YF,60.9
Title23IO7,58.2
TitleWQVEK,71.6
TitleQPHUH,59.0
TitleKP4G1,70.0
Title5R18L,69.7
TitleJRGCZ,63.6
TitleQ9PBW,60.7
TitleROHOK,60.6
TitleXNCK8,68.1
TitleP6VI0,68.7
TitleRV2GZ,62.8
TitleI0P27,67.5
TitleMM4KT,54.0
TitleB9XZ4,68.0
TitleJBD8E,56.7
TitleO5VGC,62.1
TitleX32XH,65.3
Title1U11U,65.0
TitleLML3B,57.0
TitleO00RJ,69.6
TitleSN96Y,68.0
TitleKA948,53.7
TitleCVPNF,63.2
TitleFWMH1,54.4
Title2PTU0,66.0
TitleN7CXE,59.0
TitleH6PYI,64.4
Title1WBHS,64.6
Title9BDFO,51.4
Title2RE9J,59.9
TitleO3Q5A,72.8
TitleDRRFS,71.4
Title5KQ3S,71.6
Title48Y85,69.7
Title59YN5,67.6
TitleEMYF9,65.6
TitleC5GU4,57.4
Title4VATZ,64.4
Title7NA9H,56.0
Title92PQJ,60.8
TitleW302Q,61.8
TitleD00ZR,60.8
Title70LI7,65.1
Title2QB21,62.8
TitleNUPWA,67.8
Title5E9TK,62.8
TitleBQICI,63.9
TitleMKTT7,64.9
Title53X6Z,64.4
TitleT3R1J,70.2
TitleQ3FS0,59.9
TitleURBH7,59.7
TitleJLPX0,59.4
TitleSM0HS,68.3
TitleJ2GWX,69.3
TitleNAF56,60.8
TitleY5HE7,69.5
TitleBJ7S9,72.5
TitleG2N7R,66.9
TitleOFK5C,68.4
TitleII03Y,64.1
Title0K217,59.7
Title0K59O,70.2
Title8NITG,60.8
TitleKVY3W,58.2
Title6CDRU,67.6
TitleCER71,60.1
TitleSVC9G,65.6
Title33K91,67.8
TitleTZXYI,67.5
TitleU5X9V,58.9
TitleGVZWF,61.4
TitleDMING,71.8
TitleKLOX9,58.3
TitleFR2ZC,68.5
TitleN3TYW,71.8
TitleVS1Y6,66.0
TitleHJOH7,64.2
TitleD9TXZ,71.8
Title9EPDE,59.1
TitleRKYAC,68.1
TitleLMZ1H,68.0
TitleLDSLR,65.1
TitleBMT80,66.6
Title5E40D,67.4
TitleDVNA5,62.7
TitleH21KX,57.1
Title6EWP1,66.3
Title0FQTT,71.8
Title3QXI9,54.9
TitleVEJGJ,60.9
Title982EA,72.8
Title00Z6Y,59.4
TitleRJK37,59.9
Title7M9YB,65.1
TitleX21QG,55.3
TitleP1LW9,64.6
TitleWH5JN,56.2
TitleMDJBN,64.4
Title0AM7W,60.1
TitleON9VQ,68.2
Title1M5HJ,60.0
TitleGAIPV,62.5
TitlePU8YK,63.3
TitleT48HB,70.0
TitleRFQM2,64.5
TitleSYGAW,60.9
TitleBH0VD,71.4
TitleWF5UF,58.4
TitleG4KL3,67.4
Title88KT3,68.3
Title0YJOF,71.9
Title44M2Y,67.6
Title2SQHX,65.6
TitleNBDFJ,58.4
TitleE01MZ,66.8
TitleDO9SK,59.4
TitleYYTTB,60.5
TitleUO38W,66.9
TitleCB4WC,66.0
TitleCY39N,69.3
Title4T9TO,60.9
Title8POD5,61.7
TitleHK0BF,59.5
TitleDNSAF,66.6
TitleYGX7S,60.8
TitleH0QO0,67.8
TitleA8V1T,70.7
TitleWKEZP,70.0
Title6DUW5,66.6
TitleNC7PU,65.6
Title8PB1R,61.1
TitleTIE51,61.3
TitleY8A1C,54.5
Title6K5J4,71.7
TitleNB01M,63.8
TitleNJJ4A,61.9
TitleYB0J7,60.8
TitleXOHHA,60.8
TitleZVMQ2,64.6
Title0SZNQ,57.7
TitleRQ0LY,60.6
Title8F271,59.5
TitleXQ1VJ,60.3
TitleRY9PW,63.7
TitleD2PQJ,63.3
TitleW5UO5,61.3
TitleOXCQI,55.2
Title5FVH9,61.5
TitleDAP2Q,71.0
Title8UT4U,59.9
TitleZ57ZP,65.2
TitlePL2LF,57.1
TitleS6JJC,59.6
TitleM4TAB,61.4
Title1RN6T,61.3
TitleI86XF,65.3
TitleTYSUA,63.4
TitleUG3QH,62.3
TitleI4O1J,70.6
Title7NIO5,66.6
TitleZ3MF1,64.7
TitleX3IV6,64.0
TitleNOCNZ,63.2
TitlePCY3C,51.6
TitleKZ7TL,57.4
TitleH5282,61.5
TitleDPKCW,62.6
TitleQHFL7,62.7
TitleVI5LB,64.1
TitleMH112,69.1
TitleLKN5K,69.1
TitleIJ2I5,68.0
Title0ZLP6,63.7
Title0K4PP,66.6
Title44ZW0,68.2
TitleP610W,65.0
TitleBN2FZ,66.5
TitleIAZXQ,62.7
Title2N7I0,62.3
TitleEWZ0I,64.6
TitleW6T9C,63.1
Title2XNIX,65.3
TitleHMFD3,66.3
Title72UTS,70.0
TitleG78PL,65.9
TitleAF256,64.6
TitleDPNW9,60.7
Title41L4W,58.6
TitleLICVD,65.2
TitleN44AZ,65.4
TitleDRALY,57.9
TitleDMT11,59.9
Title4ATTT,66.5
TitleLE5PR,60.2
Title50PKJ,68.3
Title6XUBF,57.0
TitleNISFK,67.4
TitleB0IUQ,61.8
Title5TADF,65.6
TitleFR37S,60.3
Title089DL,69.0
TitleP66TX,59.8
TitleACX2I,57.7
TitleGIA9P,58.4
Title797F9,68.3
TitleAX69B,68.9
Title7GLBO,69.7
Title1CMC4,64.0
Title9T7UA,59.6
TitleMGDXO,71.9
TitleZD3D5,71.4
Title1H9P5,65.6
TitleW2581,57.3
TitleF698Q,65.0
TitleUPPES,58.1
Title7RFRU,67.7
Title47TZG,59.6
TitleGDWO6,60.4
TitleCP8LA,65.8
TitleQ6OK6,55.1
TitleHH40S,73.3
Title7U4FB,64.7
TitleZNY1X,65.3
TitleFOX2L,62.4
TitleBV2OI,60.2
Title6FDM3,62.1
TitleW9RRC,57.6
TitleQVDQ6,67.7
Title7AJXS,66.7
TitlePRD8L,66.0
TitleU6LVE,59.8
TitleQ94KP,64.4
TitleG7EA3,64.7
Title23V3R,54.9
TitleWH83M,55.8
TitleZT7IS,58.3
TitleE4LN6,66.1
TitleI1NZN,66.4
TitlePYUSE,68.9
TitleN43XI,78.9
TitleRMEXM,69.0
TitleMFQKI,59.2
TitleWD36X,66.0
TitleL6DQ8,59.4
TitleW8S9B,58.9
Title7QAV0,62.6
Title1BNP4,55.2
TitleW7NTM,68.8
Title7VCYO,67.6
TitleORDFV,63.5
TitleOTAI0,59.4
TitleGWTKF,64.8
Title6IWVE,56.0
Title6037P,55.9
Title49OUK,59.9
Title6QU1Q,60.7
TitleG8NXX,62.8
TitleHGNI5,59.1
TitleI15H7,59.0
TitleYTG6A,68.6
TitleZSJC8,68.6
Title3ZGDR,61.2
TitleR6M7G,68.1
TitleTUZMT,67.0
TitleHKIY4,62.1
TitleAV8ZD,67.4
TitleK1ZJK,68.4
TitleMAEQD,67.0
TitleVPKN4,67.7
Title2IRBG,62.0
TitleB5F4T,69.8
TitleZ9EFX,60.5
Title6ZEKF,65.8
Title07DWS,66.3
TitleU4JDP,65.6
Title6SHHD,54.2
TitleHBWI9,62.5
TitleGAIRZ,72.8
TitleIG32W,58.6
Title12SLE,55.6
TitlePGD0X,60.0
Title05KWT,73.3
TitleCVXCO,58.8
Title6N8EC,68.2
TitleIFI2W,64.2
TitleRNZAN,62.1
TitleSTP0N,58.0
Title353HB,59.4
Title6E9CF,56.5
TitleR3L72,64.3
TitleD2CSJ,58.2
TitleW9RDL,53.8
TitleR205P,58.4
TitleCT4IC,62.4
TitlePGH8X,65.1
TitleDM68Z,66.2
Title29DVL,59.4
TitleS90MD,70.9
Title2MII0,60.4
TitleUNRSP,63.6
TitleN3WKB,61.4
TitleV2E67,73.8
TitleFKWIR,58.4
TitleIK899,68.9
TitleV2CTC,61.8
Title34J4I,60.2
TitleUVKGI,68.9
Title92X93,58.3
Title5YS9U,68.9
TitleYVIJW,65.4
TitleF7578,58.7
TitleUH8ZZ,64.0
TitleIWBQZ,63.2
TitleWYPBG,60.5
TitleJMIYB,60.7
TitleXU1HX,63.8
TitleC3Z5W,68.3
TitleETMER,60.2
TitleHSBKJ,78.3
TitleYIQZ2,67.4
TitleW1ON9,65.6
TitleLP7PK,67.4
Title8VA0E,67.9
TitleBAWPB,69.5
TitlePQ1LB,65.8
Title9BRV6,65.7
TitleJUKA7,64.5
TitleQ65CJ,61.2
TitleBOJWQ,59.0
TitleU7RSC,76.0
TitleOWURI,60.8
TitleOE6AS,65.7
TitleMBBS1,66.0
TitleM1HKD,65.6
TitleGAVCJ,72.2
TitleE21NV,67.6
TitleEN056,63.7
TitleQRXCS,66.9
TitlePZTC6,63.1
Title5Y5W3,58.3
Title4CYVQ,69.5
TitleB6BI2,72.4
TitleW4TC6,54.4
TitleWIETD,61.5
TitleSKV0E,65.2
Title20EBE,68.4
Title6EPNM,57.1
TitleWM5AJ,62.2
TitleD41S4,65.3
TitleZOR84,66.5
TitleEABKA,63.6
TitleZLB8C,61.1
Title7R8KZ,64.9
TitleH8FIQ,56.1
TitleMKIM4,60.0
TitleQM62M,58.6
TitleEKK3G,64.7
TitleY22DA,63.8
TitleMKO4Z,62.0
TitleDCVTS,64.8
TitleCEYQC,67.7
TitleCDBOX,65.5
TitleEORA1,70.8
Title2BAIR,61.8
TitleT1XSZ,68.5
TitleHPQPB,64.9
Title876D6,69.8
TitleFL87W,70.9
TitleJFW2L,65.3
Title6ETEZ,58.0
TitleH1E78,71.1
TitleQYOJJ,67.2
TitleQL8HE,67.1
TitleZT3Q8,66.8
TitleTZWKL,68.1
Title7M6WY,54.6
TitleYM8T9,59.4
Title785GK,69.7
Title5N8TI,67.4
TitleUH7N5,66.0
TitleGG5O3,68.3
TitleKVU1H,60.7
TitleWK7OQ,72.5
TitleQ8GET,58.0
Title6QMQ2,63.2
TitleZRLPI,60.9
TitleHQOJX,68.3
TitleBWVPD,69.9
TitleBCHD2,59.7
Title64G3U,60.2
TitleW2FJH,61.5
TitleVC0G9,60.6
TitleP5UAW,56.9
TitleNZ29W,67.9
TitleJKOIP,60.4
TitleJW57A,73.7
TitleM9PH0,64.5
Title0KKRY,70.5
TitleCVUZS,65.5
Title6MQXH,61.0
Title63N52,70.0
Title9R4QJ,67.1
TitleTQAG6,56.0
Title4DYBD,68.2
Title0DGLT,72.6
TitleEDT5D,71.4
Title89EJJ,68.5
TitleQRHV4,63.4
TitleTL8TV,68.3
TitleJ5XQU,65.7
TitleXELRZ,66.2
Title65YIV,65.2
TitleZ56L4,61.3
TitleWJU2L,66.1
TitleSQI25,66.8
TitleCWV72,61.3
TitleHV0G3,62.3
TitleEWB0E,67.2
TitleG09TB,63.9
TitleSXKMN,58.4
TitleK6ZPA,69.3
TitleGE5XP,55.7
TitleYBVTC,56.2
Title26GJJ,68.7
TitleC8QVY,59.8
Title373LX,58.2
Title4BQM0,65.9
TitleKIH6U,62.8
TitleYNDC7,65.6
TitleV26B8,67.4
TitleT7E70,60.7
TitleBTM08,60.2
TitleED1WD,65.3
TitleCTHSR,65.7
TitleJYFJB,66.4
TitleIK2Y3,56.8
TitleAP6X5,74.0
TitleIMIXB,67.0
Title8AEMM,68.6
TitleH9JV2,65.2
TitleZRT1P,59.0
Title58T6W,65.3
TitleOSF13,72.2
TitleKCU06,66.7
TitleXY39W,57.5
TitleFJW2F,50.8
TitleYE2BG,65.1
Title29M36,67.1
TitleH04BX,67.6
TitleLZ8O6,65.9
Title7UF4N,51.0
Title4PV8C,67.6
TitleN08R7,68.1
TitleTND66,68.5
TitleQIO3U,55.4
Title3PDJ0,57.0
TitleEVNEJ,61.9
Title0JXLB,64.4
TitleSST1A,77.2
TitleW4RI9,59.3
TitleUCX3N,74.3
TitleEA9MG,66.9
TitleCNW0A,71.9
TitleRE4FM,60.6
Title2N282,55.6
TitleVR7UT,73.9
TitleUWZIY,60.8
Title3A64B,67.4
TitleRBCFJ,66.6
TitleNYTFH,65.2
TitleBGRFC,65.4
TitleWWJ6X,54.7
TitleNK350,60.6
Title1N1II,71.2
TitleM1UE9,69.7
TitleHYQT7,66.8
TitleG814W,66.5
TitleB0PMY,57.6
TitleBBUFI,66.9
TitleG5VSK,60.3
Title5RUV3,66.9
TitleSEV42,65.1
Title438K1,68.4
TitleUZ3DI,65.0
TitleHT479,60.5
TitleKBBTU,64.0
TitleEV9GF,58.3
TitleKRMRZ,68.7
TitleBB3E1,61.2
TitleC6G9C,66.1
TitleVBED8,67.2
TitleBICN0,68.6
TitleIOVVV,64.8
TitleQRU5M,53.6
TitleL5J9W,56.7
TitleKAYDU,59.4
TitleS74OE,61.5
Title7X8D0,57.7
Title4TXOJ,60.1
TitleAI24X,67.6
Title7WRG6,65.3
Title2BHH1,69.2
Title5Q95N,59.7
Title31YAI,61.6
TitleJ2D0S,67.2
TitleATXPL,61.6
TitleT46RS,57.4
TitleX7JJE,62.4
TitleS1BAY,68.4
TitleAELWU,69.3
TitleSYDI4,75.2
TitleQVPSC,67.3
TitleQSNGK,65.9
TitleJZOKZ,65.6
TitleDJ0MS,64.4
TitleMTTRN,59.7
Title8E50X,64.1
Title1EW9T,54.8
TitleUQVUM,66.8
TitleWVYG8,66.4
TitleHTUKM,73.4
TitleIYOUQ,61.5
Title11T9M,56.5
TitleBSUA5,67.2
Title1QXPN,66.1
Title1NYOF,69.3
TitleIHHFR,61.4
TitleQYFNT,65.4
TitleVH335,56.6
Title1PTQJ,58.2
TitleQEZ5P,63.1
TitleCVH6V,68.4
TitleTC6OH,66.7
Title6R7VX,67.3
TitleMYCRA,61.0
TitleITC20,62.9
TitleCY245,56.1
TitleO09DL,63.3
TitleZQGIB,52.9
TitleJS6ZB,64.0
Title0GRHA,67.1
TitleGQJU7,61.4
Title3XO7D,66.9
TitleKZCMH,59.6
TitleUDKQ1,55.1
TitleIPVDH,64.5
TitlePF3W3,69.2
TitleCLRD7,60.0
Title8UJDQ,66.6
Title5DNSM,61.6
TitleO56F5,60.7
Title2K05N,71.0
TitleHQL6Q,67.8
TitlePOL75,60.3
TitleH149Z,60.6
TitleGPKAD,62.5
Title7QHF1,66.0
TitleK52R1,65.1
TitleGBD4N,68.3
TitleUWIF4,68.7
TitleK650G,59.2
Title2J3RP,71.6
TitleFM63F,58.4
Title2H7IY,61.7
Title1LVHT,57.0
TitleD9415,68.2
TitleI4YA3,56.3
TitleZGBPH,68.8
TitleEX9NJ,68.5
TitleGADOR,67.8
TitleA63P3,67.3
Title45VUD,60.4
Title5NV8S,60.2
Title3V1YD,63.7
TitleSALYL,63.4
TitleGFAC5,72.5
Title089HE,61.5
TitleDL9GJ,70.1
TitleUHTM4,66.5
TitleT6597,68.2
Title4JXJP,60.1
Title10CGL,71.1
TitleR230U,67.7
Title0XBLE,68.7
TitleRTKQ1,56.7
TitleCB5C1,64.8
TitleIG6QE,59.3
Title3Q3HJ,60.1
TitleVC5GO,64.4
Title9MRRH,67.8
Title6KYB0,67.8
TitleNPO27,69.3
Title2L8OW,66.8
Title5UTR7,58.6
TitleDXK1W,60.1
TitleOLE7C,69.2
TitleXL6Z6,69.1
TitleCAA9S,67.9
TitleS1Y5O,65.1
TitleXMATD,67.9
TitleKWA72,66.2
TitleENUVN,56.6
TitleBW1EW,57.1
TitleHQ967,65.6
TitleVGANC,60.4
TitleOTR0Z,67.7
TitleS7HU7,67.2
TitleNQJH0,72.0
Title8HXM3,66.9
Title61N9H,64.6
Title8FDTI,65.3
Title3FCY5,60.2
TitleOLVPE,71.5
TitleWFDXU,65.5
Title0YDK4,56.6
TitleBM1J1,60.7
Title4NNTJ,66.8
TitleLN5S1,59.8
TitleD2ASQ,68.7
TitleA5VUC,65.6
TitleZ9MGC,67.2
TitleU5YAN,63.7
TitleLEEH4,64.4
Title3DN74,69.1
TitleB4YP4,65.8
TitleTH53P,59.8
Title0RM9L,56.5
TitleGRMFX,68.0
TitleU4J6Y,54.1
TitleHKMEL,72.3
TitleSHH1C,65.8
TitleKEFUI,64.3
TitleWMLN5,68.9
TitleOMMTU,62.4
Title2Q1A9,72.7
TitleMJDL6,58.0
TitleILV1L,64.7
TitleQMD0X,57.9
TitleQ9EJZ,60.2
Title3G91J,70.0
Title7CL9L,66.7
Title4RL5S,57.8
TitleRBS9E,76.5
TitleA05R3,71.5
Title22SSR,58.3
Title80TYK,61.3
TitleA40GC,68.4
TitleIRIEQ,71.5
Title8NPO9,51.7
TitleJZ2NF,64.9
TitleSLJPK,59.6
TitleNH5I5,54.6
Title7O3R2,66.7
TitleBIYMP,64.2
TitleVZIP5,60.6
TitleG7BX1,55.5
TitleO6Z5U,70.6
TitleWOXPP,67.1
Title1S5QW,63.7
TitleXFWI1,69.2
TitleK6XN7,67.2
TitleJNMG2,68.5
Title4YBEE,68.6
TitleBPK6B,60.7
Title690RK,60.3
TitleZNXDK,68.4
TitleQPIVB,69.3
TitleD4B9D,63.3
TitleIUTZC,68.1
TitleDXXBE,65.4
TitleXEU8K,57.0
Title435A8,64.9
TitleEMEG7,69.7
TitleIOC2Z,58.5
TitleQOEH4,67.1
TitleI6R8T,59.8
TitleLWAMH,60.7
TitleVQIJP,63.6
TitleQJVOB,60.0
TitleJTUG8,72.5
TitlePCJK5,61.3
TitleW6NUX,67.5
TitleH0MK9,59.1
TitleCITBB,62.6
Title3TTX6,67.6
TitleSNG6L,62.6
Title9QPAT,66.8
TitleJE4ED,66.9
TitleMONPH,84.3
TitleUHCL9,57.6
TitleT5N6V,59.1
TitleL9VTS,62.1
TitleITQGT,78.1
TitleYDA9K,68.2
TitleVV5L7,66.9
TitleZOQA6,66.3
Title0R5AG,67.4
Title1NE07,67.8
TitleHQ1DR,64.3
TitleV70ZI,60.3
TitleMT4BN,68.7
TitleGAVYD,60.4
TitleVZFNB,61.9
TitlePCTNX,59.8
TitleV6H0Y,64.9
Title2EI06,66.5
Title1U117,53.8
TitleXIDEN,68.8
TitleF8RSB,67.9
TitleS8K8L,67.5
TitleB8JEX,60.6
TitleRXSOT,63.3
TitleJK7I2,58.7
Title44YUQ,64.1
TitleD53TZ,59.5
TitlePJHNR,61.4
TitleEOHQM,63.0
TitleI1NT0,65.5
TitleP3NUG,61.8
TitleUQFC9,69.3
TitleAMI78,65.9
TitlePFTQR,64.5
TitleR3I65,72.0
TitleUQKH9,70.8
TitleCR7TX,63.0
TitleGNZ9A,59.7
TitleC7BSE,66.8
TitleSF3JL,66.4
TitleXX9NB,59.7
TitleR662H,72.6
TitleTE3RE,70.1
Title6U3L5,65.1
TitleXXWWU,67.6
TitleY7CAH,65.5
Title2ENFB,65.9
TitleH7AWM,67.5
TitleGSR96,65.2
TitleA974Y,72.8
TitleKRD9S,67.0
TitleIC1XX,59.3
TitleHF4BN,58.1
TitleSKPGV,60.3
TitleN8ORD,59.0
TitleRULS9,60.5
TitleX989N,63.9
TitleLCQ2F,64.1
TitleODWHI,69.4
TitleWMB1Z,60.0
TitleIAMBX,60.0
TitleMW5XJ,65.4
TitleUFI52,72.6
TitleYNEJ5,54.4
TitleTHPVI,68.5
TitleXKJI4,68.7
Title4FAJZ,70.6
TitleL1LU4,68.1
TitleT3T7L,67.6
Title9PWUT,66.7
TitleGPI1Y,55.3
TitleJGSGL,55.0
TitleJTFJF,55.6
TitleQAY87,59.6
TitleVZQ1Z,61.0
TitleBJVZH,74.8
TitleWGVF6,65.4
Title84262,65.9
TitleS708T,59.6
Title5Y3QW,69.0
TitleGJ5D5,65.2
TitleG472T,62.1
TitleJT36Q,59.2
TitleGR2WP,61.3
Title5FQID,66.2
Title2D482,62.9
TitleN5G1W,64.8
TitleVQ2HA,50.9
TitleU5Q5B,65.1
TitleL6V9A,70.9
Title2R8VU,62.0
Title7HCNJ,71.6
TitleCD5YZ,58.0
Title8OKXL,58.4
TitleHFQT8,59.5
